date,user,pc,activity
2011-05-01 00:38:58,GDH2500,PC-9355,Logon
2011-05-01 01:31:54,MTS0465,PC-6152,Logon
2011-05-01 01:33:01,MTS0465,PC-6152,Logoff
2011-05-01 02:55:26,HDB1666,PC-6793,Logon
2011-05-01 04:03:41,AMA2808,PC-3872,Logon
2011-05-01 04:18:52,HDB1666,PC-6793,Logoff
2011-05-01 04:33:43,AMA2808,PC-3872,Logoff
2011-05-01 06:10:46,PPP1295,PC-2585,Logon
2011-05-01 06:32:00,BMN3207,PC-9138,Logon
2011-05-01 06:32:00,CHU3211,PC-5189,Logon
2011-05-01 06:32:00,LSN1672,PC-9021,Logon
2011-05-01 06:38:00,ABM3203,PC-8311,Logon
2011-05-01 06:44:11,PPP1295,PC-2585,Logoff
2011-05-01 06:46:00,CBA1023,PC-1570,Logon
2011-05-01 06:47:00,DMH0011,PC-3875,Logon
2011-05-01 06:47:00,HDB1666,PC-6793,Logon
2011-05-01 06:47:19,GDH2500,PC-9355,Logoff
2011-05-01 06:52:00,ROR3483,PC-4365,Logon
2011-05-01 06:53:00,NBR3731,PC-7532,Logon
2011-05-01 07:00:00,JLC0216,PC-3253,Logon
2011-05-01 07:01:00,CJH2330,PC-1768,Logon
2011-05-01 07:06:00,AFP2709,PC-3154,Logon
2011-05-01 07:06:00,SDH2394,PC-5849,Logon
2011-05-01 07:06:00,WBB2321,PC-3292,Logon
2011-05-01 07:06:00,WRF3534,PC-7714,Logon
2011-05-01 07:10:00,CGW0692,PC-6774,Logon
2011-05-01 07:10:00,WRW2331,PC-9106,Logon
2011-05-01 07:15:00,HMY0235,PC-7084,Logon
2011-05-01 07:15:00,JJH1389,PC-3684,Logon
2011-05-01 07:16:00,ABM3641,PC-7385,Logon
2011-05-01 07:16:00,DAR0709,PC-4052,Logon
2011-05-01 07:16:00,ZRM0694,PC-6816,Logon
2011-05-01 07:17:00,MJA2380,PC-2940,Logon
2011-05-01 07:17:00,RCT1697,PC-5770,Logon
2011-05-01 07:19:00,TDK1689,PC-7593,Logon
2011-05-01 07:24:00,HLO2756,PC-9822,Logon
2011-05-01 07:30:00,DRB0202,PC-0568,Logon
2011-05-01 07:30:00,DRF1498,PC-9560,Logon
2011-05-01 07:30:00,JKG0944,PC-2688,Logon
2011-05-01 07:30:00,TJS3067,PC-5461,Logon
2011-05-01 07:30:00,TWM2199,PC-9826,Logon
2011-05-01 07:31:00,ARK3198,PC-9151,Logon
2011-05-01 07:31:00,JKC2754,PC-3138,Logon
2011-05-01 07:31:00,JSH3019,PC-3455,Logon
2011-05-01 07:33:00,RCH2447,PC-0226,Logon
2011-05-01 07:35:00,JOC3621,PC-0329,Logon
2011-05-01 07:36:00,KMR0682,PC-1419,Logon
2011-05-01 07:36:00,LXS0332,PC-4458,Logon
2011-05-01 07:37:00,BMC3636,PC-5581,Logon
2011-05-01 07:37:00,LAF2213,PC-3090,Logon
2011-05-01 07:38:00,PJC1252,PC-7983,Logon
2011-05-01 07:38:00,SRR2711,PC-6931,Logon
2011-05-01 07:40:00,CJM0273,PC-3471,Logon
2011-05-01 07:40:00,ISJ1479,PC-0043,Logon
2011-05-01 07:40:00,RTS2009,PC-7059,Logon
2011-05-01 07:42:00,KJS1940,PC-3182,Logon
2011-05-01 07:43:00,ARW0818,PC-0676,Logon
2011-05-01 07:43:00,GDM3960,PC-7415,Logon
2011-05-01 07:43:00,QBL1386,PC-2737,Logon
2011-05-01 07:44:00,WBH1861,PC-8987,Logon
2011-05-01 07:45:00,CAR2244,PC-0194,Logon
2011-05-01 07:46:00,AYD2775,PC-3839,Logon
2011-05-01 07:46:00,LDB3304,PC-4961,Logon
2011-05-01 07:46:00,RVV0317,PC-1918,Logon
2011-05-01 07:46:00,VEB3671,PC-1038,Logon
2011-05-01 07:47:00,AMA2808,PC-3872,Logon
2011-05-01 07:47:00,KCR2291,PC-1603,Logon
2011-05-01 07:47:00,MCK0435,PC-0678,Logon
2011-05-01 07:47:00,NSR2539,PC-3893,Logon
2011-05-01 07:48:00,ENS1748,PC-5920,Logon
2011-05-01 07:48:00,LLT0291,PC-1250,Logon
2011-05-01 07:48:00,TGH3351,PC-0681,Logon
2011-05-01 07:49:00,GJS0160,PC-4170,Logon
2011-05-01 07:50:00,BDR0510,PC-1197,Logon
2011-05-01 07:51:00,KPS3882,PC-9504,Logon
2011-05-01 07:52:00,KPB1123,PC-2997,Logon
2011-05-01 07:52:00,MMR1695,PC-8796,Logon
2011-05-01 07:52:00,UCW2995,PC-7862,Logon
2011-05-01 07:56:00,JET2299,PC-8010,Logon
2011-05-01 07:56:00,NHK2846,PC-7578,Logon
2011-05-01 07:57:00,CFL0156,PC-8841,Logon
