date,user,pc,activity,to_removable_media,from_removable_media
2011-05-01 06:53:50,ABM3203,PC-8311,File Open,False,False
2011-05-01 07:15:27,CGW0692,PC-6774,File Open,False,False
2011-05-01 07:15:27,CGW0692,PC-6774,File Open,False,False
2011-05-01 07:30:45,SDH2394,PC-5849,File Copy,False,True
2011-05-01 07:31:02,CGW0692,PC-6774,File Open,False,False
2011-05-01 07:42:20,PJC1252,PC-7983,File Open,False,False
2011-05-01 07:49:14,AFP2709,PC-3154,File Copy,False,True
2011-05-01 08:01:02,LLT0291,PC-1250,File Copy,True,False
2011-05-01 08:07:01,MLW2240,PC-1960,File Open,False,False
2011-05-01 08:07:28,MLW2240,PC-1960,File Copy,False,True
2011-05-01 08:09:25,PEV3955,PC-4993,File Open,False,False
2011-05-01 08:14:51,RCT1697,PC-5770,File Copy,True,False
2011-05-01 08:21:13,MLW2240,PC-1960,File Write,True,False
2011-05-01 08:22:04,ABD3426,PC-8657,File Copy,True,False
2011-05-01 08:28:13,SDH2394,PC-5849,File Delete,False,True
2011-05-01 08:28:15,LLT0291,PC-1250,File Delete,False,True
2011-05-01 08:28:20,LLT0291,PC-1250,File Delete,False,True
2011-05-01 08:28:55,ABD3426,PC-8657,File Open,False,False
2011-05-01 08:29:22,SDH2394,PC-5849,File Copy,False,True
2011-05-01 08:30:56,ATT1191,PC-2057,File Copy,False,True
2011-05-01 08:31:59,LLT0291,PC-1250,File Delete,False,True
2011-05-01 08:33:12,ABD3426,PC-8657,File Copy,False,True
2011-05-01 08:33:21,ATT1191,PC-2057,File Open,False,True
2011-05-01 08:33:32,ATT1191,PC-2057,File Copy,True,False
2011-05-01 08:35:00,AKB2312,PC-0937,File Copy,True,False
2011-05-01 08:35:00,AKB2312,PC-0937,File Open,False,False
2011-05-01 08:35:06,AKB2312,PC-0937,File Delete,False,True
2011-05-01 08:35:17,ABD3426,PC-8657,File Copy,True,False
2011-05-01 08:35:31,AKB2312,PC-0937,File Copy,True,False
2011-05-01 08:35:33,AKB2312,PC-0937,File Write,True,False
2011-05-01 08:35:37,ATT1191,PC-2057,File Copy,False,True
2011-05-01 08:35:45,AKB2312,PC-0937,File Delete,False,True
2011-05-01 08:36:40,IMC3296,PC-2659,File Delete,False,True
2011-05-01 08:36:47,ABD3426,PC-8657,File Copy,False,True
2011-05-01 08:37:32,ATT1191,PC-2057,File Write,True,False
2011-05-01 08:37:36,LLT0291,PC-1250,File Write,True,False
2011-05-01 08:39:02,CJM0273,PC-3471,File Copy,True,False
2011-05-01 08:39:07,ATT1191,PC-2057,File Open,False,False
2011-05-01 08:39:17,ATT1191,PC-2057,File Delete,False,True
2011-05-01 08:40:11,ATT1191,PC-2057,File Copy,True,False
2011-05-01 08:40:23,CJM0273,PC-3471,File Delete,False,True
2011-05-01 08:40:27,ATT1191,PC-2057,File Write,True,False
2011-05-01 08:40:48,JDM1042,PC-1105,File Open,False,False
2011-05-01 08:41:20,YNW2855,PC-0624,File Write,True,False
2011-05-01 08:41:26,IMC3296,PC-2659,File Copy,False,True
2011-05-01 08:41:49,YNW2855,PC-0624,File Copy,True,False
2011-05-01 08:42:08,CJM0273,PC-3471,File Open,False,False
2011-05-01 08:44:25,LSN1672,PC-9021,File Open,False,False
2011-05-01 08:48:20,JSH3019,PC-3455,File Copy,False,True
2011-05-01 09:00:44,AKB2312,PC-0937,File Copy,True,False
2011-05-01 09:06:30,WRF3534,PC-7714,File Delete,False,True
2011-05-01 09:07:51,WRF3534,PC-7714,File Write,True,False
2011-05-01 09:13:54,JDM1042,PC-1105,File Write,True,False
2011-05-01 09:14:17,AKB2312,PC-0937,File Copy,False,True
2011-05-01 09:14:43,WRF3534,PC-7714,File Write,True,False
2011-05-01 09:24:05,OKH3777,PC-5467,File Open,False,False
2011-05-01 09:24:59,YCL0824,PC-6421,File Delete,False,True
2011-05-01 09:30:30,REC0283,PC-6764,File Copy,True,False
2011-05-01 09:32:15,JDM1042,PC-1105,File Delete,False,True
2011-05-01 09:37:42,GKL0006,PC-3525,File Copy,True,False
2011-05-01 09:37:58,AFP2709,PC-3154,File Copy,True,False
2011-05-01 09:41:14,ABD3426,PC-8657,File Open,False,True
2011-05-01 09:42:49,IRS1337,PC-1290,File Copy,False,True
2011-05-01 09:47:21,IRS1337,PC-1290,File Copy,True,False
2011-05-01 09:47:26,OKH3777,PC-5467,File Copy,False,True
2011-05-01 09:47:41,TKM1539,PC-3295,File Copy,False,True
2011-05-01 09:49:56,SDH2394,PC-5849,File Delete,False,True
2011-05-01 09:50:07,OKH3777,PC-5467,File Open,False,False
2011-05-01 09:50:10,TKM1539,PC-3295,File Copy,True,False
2011-05-01 09:50:13,GKL0006,PC-3525,File Copy,True,False
2011-05-01 09:50:54,ABD3426,PC-8657,File Copy,False,True
2011-05-01 09:52:00,ABD3426,PC-8657,File Copy,True,False
2011-05-01 09:52:25,TKM1539,PC-3295,File Copy,False,True
2011-05-01 09:53:35,HMB0805,PC-0242,File Open,False,False
2011-05-01 09:53:35,HMB0805,PC-0242,File Open,False,False
2011-05-01 09:54:14,TKM1539,PC-3295,File Delete,False,True
2011-05-01 09:57:08,JET2299,PC-8010,File Copy,False,True
2011-05-01 09:57:14,REC0283,PC-6764,File Copy,False,True
2011-05-01 09:59:38,YNW2855,PC-0624,File Write,True,False
2011-05-01 09:59:48,AKB2312,PC-0937,File Copy,False,True
2011-05-01 10:00:22,JET2299,PC-8010,File Delete,False,True
2011-05-01 10:02:21,JET2299,PC-8010,File Copy,True,False
2011-05-01 10:04:10,YNW2855,PC-0624,File Write,True,False
2011-05-01 10:04:24,JET2299,PC-8010,File Delete,False,True
2011-05-01 10:05:37,ROR3483,PC-4365,File Delete,False,True
2011-05-01 10:05:53,JET2299,PC-8010,File Open,False,False
2011-05-01 10:06:07,MWG1570,PC-0031,File Copy,False,True
2011-05-01 10:06:41,JET2299,PC-8010,File Copy,True,False
2011-05-01 10:07:41,NBR3731,PC-7532,File Copy,False,True
2011-05-01 10:07:56,YNW2855,PC-0624,File Delete,False,True
2011-05-01 10:09:29,TKM1539,PC-3295,File Copy,False,True
2011-05-01 10:09:43,TKM1539,PC-3295,File Open,False,False
2011-05-01 10:09:49,OKH3777,PC-5467,File Open,False,True
2011-05-01 10:10:09,JET2299,PC-8010,File Copy,False,True
