id,date,user,pc,activity
{K6I1-M3DF14HZ-0699JHUS},2011-05-01 00:38:58,GDH2500,PC-9355,Logon
{C6P2-N2ZA22BZ-8335XOBH},2011-05-01 01:31:54,MTS0465,PC-6152,Logon
{Z2R1-Z1OM83KN-5256OSVE},2011-05-01 01:33:01,MTS0465,PC-6152,Logoff
{W5D1-T3MT00XG-1620FDKZ},2011-05-01 02:55:26,HDB1666,PC-6793,Logon
{D9U6-E5QI30PR-4518IVDS},2011-05-01 04:03:41,AMA2808,PC-3872,Logon
{H4N2-W7UD94DD-4935IJNJ},2011-05-01 04:18:52,HDB1666,PC-6793,Logoff
{H9O4-I8GH83KW-4179ZUHP},2011-05-01 04:33:43,AMA2808,PC-3872,Logoff
{D6H2-N6HQ30IH-1478LCNC},2011-05-01 06:10:46,PPP1295,PC-2585,Logon
{U4D7-G8NO49RR-0467JEDY},2011-05-01 06:32:00,BMN3207,PC-9138,Logon
{H6U1-F6JM08VW-9740WPZL},2011-05-01 06:32:00,CHU3211,PC-5189,Logon
{R5Q9-T6QF71MS-1866LLRY},2011-05-01 06:32:00,LSN1672,PC-9021,Logon
{V2E6-Z5TG94CA-1536EFTZ},2011-05-01 06:38:00,ABM3203,PC-8311,Logon
{Z4Y3-T7DT14EV-6372AQRE},2011-05-01 06:44:11,PPP1295,PC-2585,Logoff
{T5H7-Q2EQ10LA-9518VSBY},2011-05-01 06:46:00,CBA1023,PC-1570,Logon
{L8S5-V2DS33WB-4128UXLO},2011-05-01 06:47:00,DMH0011,PC-3875,Logon
{E0H9-H3RO65HW-7516TGGW},2011-05-01 06:47:00,HDB1666,PC-6793,Logon
{C7S5-W3ZV65DC-9362DMQM},2011-05-01 06:47:19,GDH2500,PC-9355,Logoff
{L8C8-L9KE91GN-9654JQJA},2011-05-01 06:52:00,ROR3483,PC-4365,Logon
{G4C3-Z6WR87FM-0569XCYP},2011-05-01 06:53:00,NBR3731,PC-7532,Logon
{P3D8-X8QX74LF-9465JNRJ},2011-05-01 07:00:00,JLC0216,PC-3253,Logon
{A9T5-J3QI34YS-5206XWAU},2011-05-01 07:01:00,CJH2330,PC-1768,Logon
{U5A3-U1EW18VZ-8218JAZQ},2011-05-01 07:06:00,AFP2709,PC-3154,Logon
{I5N3-S0MJ15TG-1000KEDV},2011-05-01 07:06:00,SDH2394,PC-5849,Logon
{O6W4-V6KR72SR-1078YBSD},2011-05-01 07:06:00,WBB2321,PC-3292,Logon
{X7S9-X1BT45KX-7807NBSJ},2011-05-01 07:06:00,WRF3534,PC-7714,Logon
{C3G8-P0BZ54UM-6594KFYP},2011-05-01 07:10:00,CGW0692,PC-6774,Logon
{Q1A1-C9ZJ31LZ-2854YBTT},2011-05-01 07:10:00,WRW2331,PC-9106,Logon
{Z8Q7-T0XF43TA-1032ZJHB},2011-05-01 07:15:00,HMY0235,PC-7084,Logon
{Z3Z9-Y3VP38RY-9059GDDB},2011-05-01 07:15:00,JJH1389,PC-3684,Logon
{O3Z1-X3TE51KB-6248VGLO},2011-05-01 07:16:00,ABM3641,PC-7385,Logon
{S5Z6-R9GQ22GL-5271XPLB},2011-05-01 07:16:00,DAR0709,PC-4052,Logon
{O3C5-L3JO32ZB-1569MFJM},2011-05-01 07:16:00,ZRM0694,PC-6816,Logon
{Z8S6-K0ID33DK-0548GUWE},2011-05-01 07:17:00,MJA2380,PC-2940,Logon
{Y5V9-G7NH60WM-9883HPXJ},2011-05-01 07:17:00,RCT1697,PC-5770,Logon
